Adj Close,date_id
109.9599991,20160104
107.6600037,20160105
117.6800003,20160106
114.5599976,20160107
111.3899994,20160108
114.9700012,20160111
116.5800018,20160112
106.5599976,20160113
107.0599976,20160114
104.0400009,20160115
107.8899994,20160119
107.7399979,20160120
102.3499985,20160121
100.7200012,20160122
99.12000275,20160125
97.83000183,20160126
91.15000153,20160127
94.41000366,20160128
91.83999634,20160129
94.08999634,20160201
91.48999786,20160202
90.73999786,20160203
89.70999908,20160204
82.79000092,20160205
83.31999969,20160208
86.12999725,20160209
88.44999695,20160210
86.34999847,20160211
87.40000153,20160212
89.05000305,20160216
94.76000214,20160217
90.48999786,20160218
89.23000336,20160219
91.93000031,20160222
89.12000275,20160223
91.61000061,20160224
94.52999878,20160225
94.79000092,20160226
93.41000366,20160229
98.30000305,20160301
97.61000061,20160302
97.93000031,20160303
101.5800018,20160304
95.48999786,20160307
96.23000336,20160308
98,20160309
97.36000061,20160310
97.66000366,20160311
98.12999725,20160314
97.86000061,20160315
99.34999847,20160316
99.72000122,20160317
101.1200027,20160318
101.0599976,20160321
99.83999634,20160322
99.58999634,20160323
98.36000061,20160324
101.2099991,20160328
104.1299973,20160329
102.1900024,20160330
102.2300034,20160331
105.6999969,20160401
104.3499985,20160404
104.9400024,20160405
104.8300018,20160406
104.4499969,20160407
103.8099976,20160408
102.6800003,20160411
106.9800034,20160412
109.6500015,20160413
110.4199982,20160414
111.5100021,20160415
108.4000015,20160418
94.33999634,20160419
96.76999664,20160420
94.98000336,20160421
95.90000153,20160422
93.55999756,20160425
92.43000031,20160426
91.04000092,20160427
90.27999878,20160428
90.02999878,20160429
93.11000061,20160502
91.54000092,20160503
90.79000092,20160504
89.37000275,20160505
90.83999634,20160506
90.54000092,20160509
92.88999939,20160510
90.01999664,20160511
87.73999786,20160512
87.87999725,20160513
89.12000275,20160516
88.62999725,20160517
90.5,20160518
89.55000305,20160519
92.48999786,20160520
94.88999939,20160523
97.88999939,20160524
100.1999969,20160525
102.8099976,20160526
103.3000031,20160527
102.5699997,20160531
101.5100021,20160601
101.25,20160602
99.58999634,20160603
100.7399979,20160606
99.88999939,20160607
97.86000061,20160608
97.08999634,20160609
93.75,20160610
93.84999847,20160613
94.12000275,20160614
94.29000092,20160615
95.44000244,20160616
94.44999695,20160617
93.80000305,20160620
90.98999786,20160621
90.01000214,20160622
91.66000366,20160623
88.44000244,20160624
85.33000183,20160627
87.97000122,20160628
91.05999756,20160629
91.48000336,20160630
96.66999817,20160701
97.91000366,20160705
94.59999847,20160706
95.09999847,20160707
97.05999756,20160708
94.66999817,20160711
95.97000122,20160712
96.43000031,20160713
98.01999664,20160714
98.38999939,20160715
98.80999756,20160718
85.83999634,20160719
87.91000366,20160720
85.98999786,20160721
85.88999939,20160722
87.66000366,20160725
91.41000366,20160726
92.04000092,20160727
91.65000153,20160728
91.25,20160729
94.37000275,20160801
93.55999756,20160802
93.09999847,20160803
93.44000244,20160804
97.02999878,20160805
95.11000061,20160808
93.98999786,20160809
93.93000031,20160810
95.88999939,20160811
96.58999634,20160812
95.30999756,20160815
95.12000275,20160816
96.37000275,20160817
96.16000366,20160818
95.87000275,20160819
95.26000214,20160822
95.94000244,20160823
95.18000031,20160824
97.31999969,20160825
97.58000183,20160826
97.30000305,20160829
97.44999695,20160830
97.44999695,20160831
97.37999725,20160901
97.37999725,20160902
100.0899963,20160906
99.15000153,20160907
99.66000366,20160908
96.5,20160909
99.05000305,20160912
96.08999634,20160913
97.01000214,20160914
97.33999634,20160915
99.48000336,20160916
98.05999756,20160919
